id,make,model,year,cylinders,engine_displacement,drive,fuel_type,fuel_cost,fuel_type1,transmission,vehicle_size_class,you_save_spend,annual_petroleum_consumption,fetch_date,fiyat
43278,Kia,Sorento AWD,2021,4,2.5,All-Wheel Drive,Regular,2250,Regular Gasoline,Automatic (S8),Small Sport Utility Vehicle 4WD,-1750,12.3962,2024-11-12 23:34:21,54402.00
45326,BMW,iX M60 (21 inch wheels),2023,NULL,NULL,All-Wheel Drive,Electricity,1000,Electricity,Automatic (A1),Standard Sport Utility Vehicle 4WD,4500,0.1056,2024-11-12 23:34:21,82406.00
47227,Subaru,Crosstrek Hybrid AWD,2023,4,2,All-Wheel Drive,Regular Gas and Electricity,1550,Regular Gasoline,Automatic (variable gear ratios),Small Sport Utility Vehicle 4WD,3250,4.92459,2024-11-12 23:34:21,53257.00
47277,Jeep,Grand Cherokee 4xe,2024,4,2,4-Wheel Drive,Regular Gas and Electricity,2350,Regular Gasoline,Automatic 8-spd,Standard Sport Utility Vehicle 4WD,750,5.96097,2024-11-12 23:34:21,79418.00
6098,Jeep,Comanche Pickup 4WD,1989,4,2.5,4-Wheel or All-Wheel Drive,Regular,2700,Regular Gasoline,Manual 4-spd,Standard Pickup Trucks,-4000,14.8755,2024-11-12 23:34:21,56512.00
7973,Mercury,Sable,1991,6,3.8,Front-Wheel Drive,Regular,2850,Regular Gasoline,Automatic 4-spd,Midsize Cars,-4750,15.6584,2024-11-12 23:34:21,74786.00
8579,Mazda,MX-5 Miata,1992,4,1.6,Rear-Wheel Drive,Regular,2350,Regular Gasoline,Automatic 4-spd,Two Seaters,-2250,12.9352,2024-11-12 23:34:21,87305.00
9585,Isuzu,Rodeo 4WD,1992,6,3.1,4-Wheel or All-Wheel Drive,Regular,3850,Regular Gasoline,Automatic 4-spd,Special Purpose Vehicles,-9750,21.2507,2024-11-12 23:34:21,89107.00
3825,GMC,V15 Pickup 4WD,1987,8,5,4-Wheel or All-Wheel Drive,Regular,3850,Regular Gasoline,Manual 4-spd,Standard Pickup Trucks,-9750,21.2507,2024-11-12 23:34:21,58825.00
39735,Volkswagen,Tiguan Limited 4motion,2018,4,2,All-Wheel Drive,Premium,3050,Premium Gasoline,Automatic (S6),Small Sport Utility Vehicle 4WD,-5750,13.5232,2024-11-12 23:34:21,39104.00
